	er-cv	name	ssn	weight	relationship	alt	trombocyty	hematokrit	indicator	ast	alp	leukocyty	erytrocyty	etytr	hemoglobin	hbver	smoker
94	20.42726	Dustin Lynch	716-27-9851	126.91899	married	2.25948	6.14590	5.63909	1.00000	47.52030	79.17109	4.49094	7.32834	8.07293	7.11173	6.39100	Y
95	59.89707	Evan Miller	276-70-4184	98.96984	divoced	4.29148	6.82228	5.25640	0.00000	45.02357	88.76838	8.32632	8.05952	8.54431	6.18542	5.33044	Y
96	70.26272	Donna Hanna	008-58-9097	15.63212	single	1.66818	8.80010	7.83210	0.00000	27.62916	46.23662	3.42176	2.98707	8.58963	4.71596	7.60420	yes
97	35.61923	Joy Carney	072-75-5535	108.19159	nop	2.14493	6.36284	6.73386	0.00000	75.74987	48.60814	3.17311	3.40157	6.48046	7.94429	7.46591	no
98	63.76529	Douglas Mueller	120-22-4399	95.47984	divoced	2.22019	6.85742	4.46037	1.00000	47.37424	40.62914	5.20843	6.37665	7.93984	2.03683	7.76591	no
99	61.34042	Ashley Stout	660-71-4556	82.36647	married	1.65020	7.95957	5.64310	1.00000	58.53609	17.74204	7.53674	4.82638	7.90155	3.63363	5.51245	no
100	81.12234	Sandy Freeman	017-28-1865	21.33405	divoced	1.92883	5.93969	6.86014	1.00000	29.27296	90.06591	6.75951	6.73067	5.99912	5.88550	6.39480	Y
101	52.47818	Evan Reyes	326-15-8527	7.67504	married	3.04271	5.06232	8.29985	1.00000	54.03811	84.80922	7.80410	5.51704	6.70729	6.45208	7.02702	Y
102	36.69210	Ricky Hoffman	827-97-1905	81.58914	single	1.68316	6.42891	7.13722	1.00000	34.41925	25.23452	9.70844	1.99969	9.42822	3.91804	8.19679	no
103	50.71018	Kim Cardenas	837-11-7908	27.48696	single	2.10806	5.99382	7.21880	0.00000	22.62339	26.57109	4.73330	4.95041	8.80054	8.54461	6.15673	no
104	44.57926	Jeffrey Hunt	113-05-9680	105.31688	divoced	1.80325	6.77305	7.29683	0.00000	56.20564	76.07946	6.17189	5.94292	6.57763	5.29351	7.43770	no
105	60.24509	Mrs. Kim York	177-56-6027	60.95071	single	1.36152	6.68190	5.00782	1.00000	33.95718	32.01076	8.80677	5.87566	5.07219	7.98560	5.73978	no
106	63.45750	Michael Stout	851-65-8987	95.50013	married	2.86046	6.69662	7.37511	1.00000	25.00883	82.80567	7.70253	5.48456	7.19151	6.47905	7.36862	Y
107	62.11517	Diane Smith	862-65-1571	89.59852	single	2.22482	7.85043	4.55673	0.00000	21.58964	59.12215	4.35153	3.65936	7.60062	7.67181	7.34252	Y
108	38.95278	Jenny Hoover	026-91-3843	140.62910	single	1.88344	5.75522	5.83387	1.00000	87.80968	74.92964	8.69256	5.67766	6.13907	7.16140	4.99572	yes
109	78.02820	Shannon Spencer	524-31-8495	75.92230	divoced	1.88455	5.76869	6.16407	1.00000	55.04413	76.86373	8.17248	4.88286	7.16733	7.12295	5.51131	yes
110	58.50139	Angela Mitchell	751-61-0609	158.05562	widowed	2.50696	5.54108	6.32233	0.00000	59.81196	76.12091	3.82648	2.02517	7.92153	5.93697	7.16505	Y
111	38.82166	Scott Key DDS	113-86-8415	36.72471	single	0.49368	5.55465	7.54851	1.00000	46.99521	14.78307	6.51950	5.17440	8.46084	3.59270	4.86622	N
112	39.14962	Melanie Luna	046-60-9478	134.94920	married	2.07692	6.16051	6.79397	1.00000	42.94582	91.33520	8.23583	5.25993	6.43868	5.92334	8.31165	no
113	59.47116	Charles Lyons	578-81-5685	117.91238	widowed	2.20206	4.62557	5.29829	1.00000	57.57721	90.94930	7.23259	6.13282	6.32411	6.25041	7.78309	no
114	59.87666	Luke Turner	552-86-5677	54.92790	separated	2.79519	5.53849	7.07920	1.00000	60.36870	61.77901	3.90874	7.27025	8.08945	7.54003	5.77448	yes
115	39.85719	Deborah Wilson	632-61-1845	77.34235	single	14.58104	7.24733	8.38114	1.00000	52.50732	15.34323	6.48377	9.55041	6.74181	9.81317	5.65896	no
116	42.65628	Kathryn Potter	078-25-6111	79.71499	nop	1.76297	5.74023	6.94285	0.00000	22.74220	86.21131	5.43884	3.82327	6.57960	6.77242	6.60303	no
117	36.90026	Eric Ritter	301-20-7155	68.45185	single	1.87615	6.29863	8.27590	1.00000	44.50207	63.38558	6.76115	5.33653	7.65902	4.99789	5.34902	no
118	24.55462	Samantha Shea	473-62-0346	80.94518	married	3.51482	6.96274	6.67897	1.00000	43.57120	61.96721	5.63755	7.42505	6.86823	7.65671	6.81298	yes
119	65.84813	Alexander Cameron	875-81-4289	118.59418	widowed	1.09543	8.46828	6.71366	1.00000	50.93778	34.91308	6.79359	5.00516	8.34561	4.27988	4.78582	Y
120	51.33778	Nancy Mitchell	038-72-4644	69.98324	married	1.77423	6.09320	5.66594	0.00000	33.76792	87.16517	5.26749	5.43404	6.52230	6.72513	4.28597	Y
121	46.54196	Robert Howell	245-10-7177	13.40530	separated	5.08039	7.57895	6.28697	1.00000	52.23963	65.43314	5.81601	7.81858	7.31746	7.40808	6.40098	yes
122	51.66122	Christopher Solis	585-01-8832	81.41018	single	1.94539	6.69976	5.14696	0.00000	71.82615	11.70550	3.60955	3.72981	9.07824	9.26961	6.31986	no
123	49.44927	Elizabeth Hicks	254-36-7611	65.34837	separated	2.69500	5.25722	5.97270	1.00000	66.96549	85.48784	8.71071	5.62168	5.56401	6.50347	6.07891	yes
124	33.73659	Kathy Robinson	131-65-0166	61.85211	single	1.52982	6.00898	6.71462	1.00000	31.68658	88.39169	10.95855	2.00115	7.56812	6.53996	5.96616	no
125	77.47169	Andrew Velasquez	171-87-7719	76.47030	nop	4.34444	6.13045	7.17456	1.00000	39.80952	61.07909	4.54825	7.73107	8.10002	7.60562	6.31661	N
126	34.55505	Angela Reilly	039-57-8729	130.60773	divoced	2.28399	5.50272	4.09790	1.00000	31.41377	86.92277	4.22671	4.49859	6.22907	5.68953	6.01749	Y
127	70.09679	Shannon Spencer	524-31-8495	102.40224	separated	2.07321	6.98044	5.60192	0.00000	42.35285	67.11170	4.94380	4.79338	7.73242	5.13605	5.17532	no
128	35.18106	Jennifer Summers	572-89-2762	86.40869	married	2.11105	6.17712	4.58571	1.00000	56.87248	31.39122	8.24224	3.73955	8.11427	4.20604	6.49674	no
129	25.51148	Emily Davis	226-19-9755	89.83129	married	5.45474	6.23704	5.87168	1.00000	35.15360	29.68444	5.78520	8.51356	7.18172	8.60766	7.61112	Y
130	49.03784	Daniel Watson	265-71-6278	72.92878	married	2.10911	6.23301	6.04315	1.00000	22.23564	48.35303	7.07288	4.98695	7.88028	4.68307	7.30821	Y
131	70.85555	Joseph Turner	644-89-0731	54.93399	nop	1.57137	5.54490	6.31659	1.00000	46.61581	76.66560	7.58438	5.51683	7.09190	5.58722	5.77474	yes
132	79.63818	Jacqueline West	703-20-1927	64.41423	divoced	2.39823	5.97074	6.21676	1.00000	54.73619	74.69957	7.75919	6.19337	5.33258	7.11254	7.98038	no
133	31.85286	Crystal Blankenship	470-68-5166	83.87607	married	1.29724	5.72456	4.71126	0.00000	64.06926	34.18957	4.60185	5.68893	8.25154	4.27602	6.03029	no
134	45.17993	Laurie Macdonald	403-41-9922	49.39881	married	1.98308	7.37656	6.82903	0.00000	47.75390	11.76418	3.10593	3.86888	9.24266	9.71512	5.38585	no
135	34.90291	Donna Turner	476-85-8885	87.37437	divoced		6.01432	6.96225	1.00000	57.28284	32.95512	4.62128	7.34574	6.99709	8.26508	7.25544	no
136	36.34523	Tracy Fleming	713-76-4597	59.73875	single	2.01274	7.85088	7.05191	1.00000	54.67848	42.74588	8.82536	2.34319	9.83318	4.69466	5.76002	yes
137	77.47517	Robin Brown	057-76-1820	80.49636	nop	2.18077	4.21093	6.09297	1.00000	52.58850	84.41522	6.99306	5.21039	7.67416	5.88692	5.97190	N
138	60.60392	Luke Sullivan	379-63-9640	10.79066	widowed	1.96894	5.81165	7.24855	0.00000	43.42965	83.10630	5.09219	3.67631	7.11808	6.73978	6.88266	no
139	57.47607	Kevin Murillo	443-28-1607	69.85154	married	1.91184	5.11843	7.90145	1.00000	43.57845	17.33725	6.92247	5.32519	7.68882	3.63385	6.35090	no
140	41.50004	Andrew Terry	684-45-3601	76.55060	married	1.70609	5.94467	6.51747	0.00000	32.01262	82.95232	5.03679	4.10190	7.34482	6.00332	5.40727	yes
141	49.39567	Samantha Stokes	770-32-2769	15.01967	separated	2.31680	5.21330	5.53273	0.00000	60.22678	18.16361	5.02975	5.24173	9.27392	8.52809	6.19909	Y
142	60.41744	Elizabeth Brown	299-45-5488	46.18837	married	3.03613	3.31662	6.13284	1.00000	72.19451	48.87573	4.88922	6.95739	6.58706	7.94091	6.33300	Y
143	36.94699	Glenn Lynch	307-52-6095	125.47078	married	3.62569	5.24180	7.92634	1.00000	42.40348	46.99896	4.64628	7.67575	7.57662	7.95615	6.70876	no
144	33.23923	David Hoover	180-09-6173	93.80076	nop	1.99556	6.02767	4.58919	1.00000	48.76435	71.96541	9.25670	2.86621	7.60402	5.54114	7.44906	no
145	41.29694	Erica Anderson	235-80-9784	127.31062	married	2.02631	6.28147	7.81892	0.00000	44.20876	80.78245	6.54379	5.80500	6.13426	6.58118	5.85648	no
146	27.10666	Nichole Harris	076-96-9549	76.66401	divoced	3.53449	7.03559	3.76217	1.00000	45.02165	83.63767	4.72850	6.56186	7.30924	6.72682	5.19020	Y
147	39.38661	Mrs. Jennifer Craig	470-98-5220	62.48516	divoced	1.76802	6.72602	5.37764	1.00000	31.49370	22.62057	8.43904	3.86559	8.37690	4.05543	5.47214	Y
148	57.09986	Shirley Anderson	636-02-0466	92.60748	widowed	2.05524	5.87652	5.05631	1.00000	57.54362	9.62150	7.24397	4.44809	8.55573	3.14115	5.12317	no
149	35.51191	Christopher Gallegos	226-48-9536	78.71234	nop	2.03293	7.83284	7.16691	1.00000	45.70011	44.19615	7.35580	4.74223	8.26190	4.60538	5.76177	yes
150	44.39888	Tiffany Stevens	784-09-7587	84.81860	single	2.07880	5.71495	4.92022	0.00000	56.76028	66.27812	5.78994	6.22859	8.26132	7.45265	5.86021	no
151	38.04318	Donna Taylor	405-42-3616	75.67181	divoced	2.49505	6.15327	5.93402	1.00000	36.29631	72.03903	3.63982	6.65732	7.92100	7.18777	5.35254	Y
152	72.55915	Miguel King	256-49-5177	98.06370	separated	2.28202	6.83073	4.73115	1.00000	57.71246	41.47369	7.16091	5.08536	7.58843	4.40537	5.46505	Y
153	56.95958	Joshua Murphy	106-96-4491	36.36096	married	12.16180	6.33610	5.94723	1.00000	29.10899	12.85482	4.97946	9.36348	8.36214	9.10244	5.10892	Y
154	43.20973	Jessica Morrison	827-46-8851	124.51679	single	5.22293	6.26494	6.10219	1.00000	35.45775	33.06275	5.49397	8.23079	7.42032	8.18893	6.79732	no
155	30.21649	Randy Parker	692-32-7277	70.01409	single	1.30619	6.17817	7.05281	1.00000	18.48963	81.51014	7.94114	5.83634	6.34176	5.86907	6.26331	yes
156	77.80840	Amy Jensen	894-84-3776	30.31071	single	1.33663	6.46471	5.12972	0.00000	41.97991	68.75165	5.33414	5.61536	7.51549	7.35385	6.88534	no
