	birthdate	current_location	blood_group	name	address	company	ssn	sex	race
97	07/28/1990, 00:00:00	(Decimal('11.339737'), Decimal('121.031256'))	B-	Jack Bishop	"132 Joseph Shore
Kimberlyport, AR 02152"	Taylor-Howard	173-73-5801	M	White
98	1946-04-09	(Decimal('-34.559720'), Decimal('175.248735'))	O-	Yvonne Tran	"5136 Daniel Key
North Katrinaport, NY 92316"	Grant Group	583-32-1143	F	Black
99	1961/10/19	(Decimal('65.370994'), Decimal('55.782637'))	AB-	Brandi Jensen	"4799 Brandon Harbor
Coreychester, AZ 38793"	Brown, Henderson and Morales	823-61-9637	F	Black
100	1956-07-03	(Decimal('-37.628341'), Decimal('-109.519441'))	A+	Bridget Sims	"83625 Hernandez Loop Apt. 578
Suzanneburgh, KY 58999"	Castro, Cole and Silva	097-07-1522	F	Asian
101	2004-10-08	(Decimal('35.7608325'), Decimal('82.733977'))	AB+	Philip Hernandez	"22445 Robert Oval
West Kimberly, DC 14719"	Beard, Riggs and Armstrong	455-40-2514	M	White
102	08 May 1963	(Decimal('68.022766'), Decimal('36.276660'))	AB-	Cheryl Nichols	"4918 Savage Well Apt. 953
Austinmouth, MD 22074"	Davis Ltd	522-45-8838	F	White
103	09 Aug 1986	(Decimal('-53.977958'), Decimal('-18.764243'))	AB+	Joseph Kelly	"20872 Wilson Keys Suite 856
Barrettview, VT 58574"	Schmitt LLC	676-48-5831	M	Hawaiian
104	1962-03-31	(Decimal('67.344226'), Decimal('-53.882683'))	B-	Patrick Vega	"4447 Roberta Island
Elizabethmouth, OH 72814"	Wood-Johnson	278-46-0319	M	Black
105	14 Aug 1954	(Decimal('18.062040'), Decimal('-167.835927'))	A-	Clifford Shaw	"USCGC Steele
FPO AP 43592"	Riley, Ortiz and Smith	568-48-0255	M	White
106	12/31/2000, 00:00:00	(Decimal('-12.8152815'), Decimal('160.068549'))	A-	Christine Mitchell	"034 Gonzalez Vista
South Matthewfurt, RI 03616"	May, Sutton and Mendoza	345-05-8749	F	White
107	1910-11-08	(Decimal('10.636750'), Decimal('-135.584107'))	O-	Jeremy Jones	"341 Cochran Causeway Suite 573
Ortizmouth, CO 48862"	Trujillo, Williams and Garcia	206-77-5033	M	White
108	2011/01/15	(Decimal('-33.734543'), Decimal('152.312424'))	AB-	Harry Henderson	"67947 Ross Street Apt. 095
Boyerhaven, NE 79415"	Hudson-Warner	827-71-1979	M	White
109	1920-05-15	(Decimal('-40.2308925'), Decimal('-73.644175'))	AB-	Tiffany Sanders	"531 Norman Crossing Suite 541
Hollandton, LA 73546"	Cunningham-Jensen	897-31-1652	F	White
110	23 Dec 1934	(Decimal('3.417179'), Decimal('-143.497506'))	A-	Douglas Payne	"2870 Hernandez Pike Apt. 366
Lake Michaelport, MS 49190"	Martinez, Miranda and Roberts	477-14-8125	M	blsck
111	1936-07-18	(Decimal('63.0136515'), Decimal('-102.697819'))	AB-	Rhonda Howard	"648 Evelyn Corners Apt. 846
Mackside, MI 27918"	Fuentes-Harris	349-85-9450	F	Black
112	12/10/1949, 00:00:00	(Decimal('-64.9037275'), Decimal('136.868992'))	O+	Daniel Barker	"73948 Wright Highway
Mcdonaldborough, OH 26407"	Larson, Larsen and Sexton	184-20-2770	M	White
113	20 Jul 1915	(Decimal('-84.856873'), Decimal('14.867061'))	O+	Jason Bryant	"59301 Weber Cove Suite 636
West Stephanie, FL 85863"	Cummings Ltd	665-83-3294	M	Hawaiian
114	1922/12/25	(Decimal('67.7526745'), Decimal('111.233773'))	B-	Terry Mills	"Unit 2694 Box 4169
DPO AE 19073"	Wheeler-Curry	233-33-9028	M	White
115	1997-03-03	(Decimal('-19.808349'), Decimal('-73.736246'))	AB-	Bryan Collins	"285 Bailey Tunnel Suite 784
Lopezshire, HI 61992"	Thomas and Sons	705-41-0159	M	White
116	06 Mar 1968	(Decimal('-8.279399'), Decimal('27.841339'))	B-	Robert Rodriguez	"85235 Bruce Branch
South Jennifer, NE 64143"	Collins Inc	159-95-9012	M	Asian
117	1959/01/03	(Decimal('-21.961900'), Decimal('-75.763638'))	A-	Erin Good	"58240 Todd Oval
North Stevenhaven, ND 88350"	Owen-Sandoval	896-05-1374	F	White
118	02 Aug 2003	(Decimal('38.415268'), Decimal('130.868633'))	AB+	Jacob Townsend	"702 Page Shores
Lake Jodyland, FL 93493"	Riley, Jones and Hill	113-12-6764	M	black
119	19 Aug 1971	(Decimal('-51.559020'), Decimal('-98.861068'))	B-	Michael Wilson	"836 Brandon Trail Suite 609
Jacobberg, WI 17540"	Jennings Ltd	512-56-8327	M	Hawaiian
120	25 Mar 2016	(Decimal('-37.7424245'), Decimal('-129.077584'))	O-	Rachael Wells	"35096 Scott Views
Billystad, NC 05605"	Carrillo, Travis and Kennedy	861-71-1601	F	White
121	07 Jul 1943	(Decimal('-6.664123'), Decimal('121.040599'))	B-	Jared Jennings	"Unit 0396 Box 2767
DPO AE 73086"	Montes LLC	201-22-0477	M	White
122	1969-08-12	(Decimal('-19.080088'), Decimal('-97.118252'))	A-	Christopher Ross	"6458 Robert Ford Apt. 536
Thompsonborough, MD 86816"	Chapman-Ryan	549-36-4418	M	White
123	1970-01-31	(Decimal('79.821173'), Decimal('-99.292227'))	B+	George Woods	"2657 Rhonda Crescent
New Derekstad, MA 74354"	Martin, Hernandez and Martinez	336-24-6446	M	Indian
124	1979/02/14	(Decimal('86.713577'), Decimal('151.704584'))	B-	David Erickson	"5445 Ortiz Alley Apt. 918
Port Michaelborough, RI 05108"	Medina LLC	064-29-2381	M	White
125	15 Apr 1967	(Decimal('-27.070093'), Decimal('129.882693'))	O-	Taylor Oconnor	"8580 Garcia Spur Apt. 010
Dunnville, OH 83600"	Davis, Nelson and Morris	749-07-1884	F	White
126	27 May 1989	(Decimal('-84.815311'), Decimal('-38.232462'))	B-	Phillip Martin	"PSC 2244, Box 8220
APO AP 05062"	Jones-Henry	366-09-1269	M	black
127	07/16/1924, 00:00:00	(Decimal('-64.6101605'), Decimal('-147.351592'))	B-	Joseph Buchanan	"9170 Oconnor Crossing
Rhondaside, WI 57570"	Hill Inc	146-81-4000	M	White
128	2000-01-05	(Decimal('-24.0887265'), Decimal('94.909870'))	AB+	Grant Mcintyre	"4145 Mary Ramp
South Shelleyburgh, ID 42299"	Page and Sons	444-87-0283	M	White
129	1941/06/26	(Decimal('-57.223532'), Decimal('-87.387544'))	AB-	Cathy Hall	"380 Lindsay Drive
South Debbieland, KY 08775"	Taylor, Long and Kelley	398-57-9102	F	White
130	03/02/1924, 00:00:00	(Decimal('13.197977'), Decimal('142.789340'))	A+	Jennifer Martinez	"8068 Stout Haven
Phillipston, NM 70032"	Archer-Smith	460-60-3166	F	Black
131	2005/01/06	(Decimal('39.142408'), Decimal('-4.768210'))	B-	Tonya Gray	"9256 Brooks Run Suite 662
New Mackenzieborough, KY 72016"	Guerrero Ltd	242-47-5038	F	Asian
132	03/16/2005, 00:00:00	(Decimal('59.824542'), Decimal('27.609170'))	B+	Aaron Ortiz	"PSC 3620, Box 1621
APO AE 33141"	Arias, Miller and Avila	542-64-4464	M	Black
133	1921-10-23	(Decimal('22.9448465'), Decimal('-18.338965'))	B-	Melissa Bowen	"2662 Rebecca Village
South Lisaville, SD 07730"	Robinson, Cunningham and Ray	585-58-6619	F	White
134	1978-03-31	(Decimal('55.059749'), Decimal('-62.727655'))	A+	Carrie Brown	"761 Erik Rue Apt. 880
West Maryhaven, CT 65835"	Combs, Ellison and Mann	724-51-1818	F	Black
135	1988-04-15	(Decimal('58.4127865'), Decimal('-95.454862'))	O-	Joshua Estes	"PSC 6466, Box 1406
APO AE 28344"	Harrison, Young and Taylor	369-67-3876	M	White
136	1996-01-05	(Decimal('61.6386055'), Decimal('-67.955815'))	AB-	Justin Hughes	"96678 Hendricks Unions
Arnoldport, NV 60122"	Johnson-Ramos	060-28-7851	M	White
137	1945-12-15	(Decimal('28.323173'), Decimal('41.358522'))	B-	Catherine Phillips	"31966 Smith Freeway
New Joshuachester, MD 27487"	Jennings, Marshall and Miller	885-23-1043	F	Black
138	1936/02/22	(Decimal('-47.390438'), Decimal('176.367600'))	B-	Tracy Burgess	"6135 Amy Inlet Apt. 220
Sarahview, AR 13919"	Pearson-Washington	595-93-2235	F	Black
139	2018/02/16	(Decimal('-13.436569'), Decimal('-21.749489'))	O+	Devin Garcia	"USS Bean
FPO AP 90448"	Snow, Davis and Jones	131-66-9931	M	Black
140	1948/02/23	(Decimal('62.087017'), Decimal('-76.673219'))	AB+	Jason Zamora	"524 Jackson Curve
Kevintown, TX 96439"	Key and Sons	714-32-8210	M	Black
141	03 Jan 1961	(Decimal('-27.043766'), Decimal('132.870256'))	O+	Edward Wolf	"PSC 9327, Box 0272
APO AE 99481"	Freeman, Lopez and Alexander	092-37-0440	M	White
142	1923-05-25	(Decimal('14.9664075'), Decimal('-144.011798'))	O-	Christian Jones	"015 Derek Knolls
Port Katelyn, AK 86301"	Russell, Stewart and Carpenter	644-35-5359	M	Black
